dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
AtrialFibrillation,GADF,sum,0.3333333333333333,,Ridge
AtrialFibrillation,GADF,sum,0.1333333333333333,Rocket,Ridge
AtrialFibrillation,GADF,sum,0.2,MiniRocket,Ridge
AtrialFibrillation,GADF,subtraction,0.2666666666666666,,Ridge
AtrialFibrillation,GADF,subtraction,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,GADF,subtraction,0.2,MiniRocket,Ridge
AtrialFibrillation,GADF,dot_product,0.3333333333333333,,Ridge
AtrialFibrillation,GADF,dot_product,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,GADF,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,GADF,element_wise,0.2666666666666666,,Ridge
AtrialFibrillation,GADF,element_wise,0.2,Rocket,Ridge
AtrialFibrillation,GADF,element_wise,0.2666666666666666,MiniRocket,Ridge
AtrialFibrillation,FIRTS,sum,0.3333333333333333,,Ridge
AtrialFibrillation,FIRTS,sum,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,FIRTS,sum,0.0,MiniRocket,Ridge
AtrialFibrillation,FIRTS,subtraction,0.3333333333333333,,Ridge
AtrialFibrillation,FIRTS,subtraction,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,FIRTS,subtraction,0.2,MiniRocket,Ridge
AtrialFibrillation,FIRTS,dot_product,0.2,,Ridge
AtrialFibrillation,FIRTS,dot_product,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,FIRTS,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,FIRTS,element_wise,0.2666666666666666,,Ridge
AtrialFibrillation,FIRTS,element_wise,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,FIRTS,element_wise,0.2666666666666666,MiniRocket,Ridge
AtrialFibrillation,CWT,sum,0.3333333333333333,,Ridge
AtrialFibrillation,CWT,sum,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,CWT,sum,0.1333333333333333,MiniRocket,Ridge
AtrialFibrillation,CWT,subtraction,0.3333333333333333,,Ridge
AtrialFibrillation,CWT,subtraction,0.1333333333333333,Rocket,Ridge
AtrialFibrillation,CWT,subtraction,0.2666666666666666,MiniRocket,Ridge
AtrialFibrillation,CWT,dot_product,0.5333333333333333,,Ridge
AtrialFibrillation,CWT,dot_product,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,CWT,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,CWT,element_wise,0.4,,Ridge
AtrialFibrillation,CWT,element_wise,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,CWT,element_wise,0.4666666666666667,MiniRocket,Ridge
BasicMotions,RP,sum,0.825,,Ridge
